time="2024-11-17T21:20:03+01:00" level=info msg="Starting the application..."
time="2024-11-17T21:24:43+01:00" level=info msg="Current route: /gate/jwt/user/:id"
time="2024-11-17T21:24:43+01:00" level=info msg="Current route: /gate/jwt/user/"
time="2024-11-17T21:26:32+01:00" level=info msg="Current route: /gate/jwt/user/:id"
time="2024-11-17T21:26:32+01:00" level=info msg="Current route: /gate/jwt/user/"
time="2024-11-17T21:28:05+01:00" level=info msg="Registering route: /gate/user/:id"
time="2024-11-17T21:28:05+01:00" level=info msg="Current route: /gate/jwt/user/:id"
time="2024-11-17T21:28:05+01:00" level=info msg="Registering route: /gate/user/"
time="2024-11-17T21:28:05+01:00" level=info msg="Current route: /gate/jwt/user/"
time="2024-11-17T21:29:23+01:00" level=info msg="Registering route: /gate/user/:id"
time="2024-11-17T21:29:23+01:00" level=info msg="Registering route: /gate/user/"
time="2024-11-17T21:30:52+01:00" level=info msg="Registering route: /gate/user/:id"
time="2024-11-17T21:30:52+01:00" level=info msg="Registering route: /gate/user/"
